,input,output,expected
11,@यह एक धधकने वाला तारा है जिसमें अचानक कुछ मिनटों के लिए चमक बढ़ जाती है#,yah# ek# dhadhakne# vala# tara# hai# jismen# achank# kuch# minut# ke# liye# chamak# badh# jati# hai# ,@yah ek dhadhakne vala tara hai jismen achanak kuch minaton ke liye chamak badh jaati hai#
12,@भारत की राष्ट्रीय क्रिकेट टीम ने  के मौसम में ऑस्ट्रेलिया का दौरा किया और  टेस्ट मैच खेले#,bharat# ki# rashtriy# kricket# team# ne# ke# mausam# men# ostrelia# ka# daura# kiya# aur# test# math# khele# ,@bharat ki rashtriy cricket team ne  ke mausam men australia ka daura kiya aur  test match khelen#
13,@संसाधनों और अन्य व्यावहारिक मुद्दों के कारण पुरातत्वविद अपनी इच्छानुसार जब चाहें व जहां चाहें उत्खनन नहीं कर पाते#,sansadhanon# aur# anya# vyavaharik# muddon# ke# karan# puratatvavid# apni# icchanusar# jab# chahen# va# jahan# chahen# utkhanan# nahin# kar# paate# ,@sansadhanon aur anya vyaavhaarik muddon ke karan puratatvavid apni ichchhaanusaar jab chahen v jahan chahen utkhanan nahin kar paate#
14,@समान नागरिक संहिता अथवा समान आचार संहिता का अर्थ एक धर्मनिरपेक्ष सेक्युलर कानून होता है जो सभी धर्म के लोगों के लिये समान रूप से लागू होता है#,saman# nagrik# sanhita# athava# saman# achar# sanhita# ka# arth# ek# dharmanirpeksh# sekyular# kanun# hota# hai# jo# sabhi# dharm# ke# logon# ke# liye# saman# rup# se# lagu# hota# hai# ,@saman nagrik sanhita athva samaan aachar sanhita ka arth ek dharmniripeksh sekyular kanun hota hai jo sabhi dharm ke logon ke liye samaan roop se lagu hota hai#
15,@भगवान शिव के ज्योर्ति लिंगों की कथा ईशान कल्प के वृत्तान्त सर्वविसर्ग आदि दशा लक्षणों सहित वर्णित है#,bhagwan# shiv# ke# jyorti# lingon# ki# katha# ishan# kalp# ke# vruttant# sarvavisarg# aadi# dasha# lakshanon# sahit# varnit# hai# ,@bhagwan shiv ke jyorti lingon ki kathaa ishan kalp ke vrittaant sarvavisarga aadi dashaa lakshnon sahit varnit hai#
16,@खजुराहो की अनुपम ललितकला और स्थापत्य भी इसी की उपज हैं#,khajuraho# ki# anupam# lalitkala# aur# sthapatya# bhi# isi# ki# upj# hain# ,@khajuraho ki anupm lalitkala aur sthaapatya bhi isi ki upaj hain#
17,@वाक्पति मुंज का काल परमारों के लिए गौरव का काल था#,vakpati# munj# ka# kaal# parmaron# ke# liye# gaurav# ka# kaal# tha# ,@wakpati munj ka kaal parmaron ke liye gaurav ka kaal tha#
18,@दूसरे पत्र के प्रश्नों के जरिए परिक्षार्थियों के संवाद कौशल भाषायी ज्ञान निर्णय व विश्लेषण क्षमता और मानसिक दक्षता यानी व्यक्तित्व व उसके रुझानों की पड़ताल होगी#,dusre# patr# ke# prashno# ke# jariye# pariksharthiyon# ke# sanvad# kaushal# bhashayi# jyan# nirnay# va# vishleshan# kshamta# aur# mansik# dakshta# yani# vyaktitv# va# uske# rujhanon# ki# padtal# hogi# ,@dusre patr ke prashno ke jarie pariksharthiyo ke sanvad kaushal bhashayi gyan nirnay va vishleshan kshamta aur mansik dakshta yani vyaktitva va uske rujhano ki padatala hogi#
19,@अपने मरीजों का वर्णन एक विशिष्ट स्मृति के क्षीणकरण वाले मरीज और धीरेधीरे उत्पन्न होने वाली अवधारणाओं के रूप में करते हुए चार्कोट ने ज्ञान संबंधी परिवर्तनों को भी अवलोकित किया#,apne# marijon# ka# varnan# ek# vishisht# smruti# ke# kshinkaran# vale# marij# aur# dhiredhire# utpann# hone# vali# avadharnaon# ke# rup# men# karte# huye# charcot# ne# jyan# sambandhi# parivartanon# ko# bhi# avlokit# kiya# ,@apne marijon ka varnan ek vishisht smruti ke kshinkaran vale marij aur dhiredhire utpann hone vali avdharanaon ke roop mein karte huye charcott ne gyan sambandhi parivartanon ko bhi avlokit kiya#
20,@जब वसुदेव की आठवीं संतान कन्या होती है तब भी उसे संदेह होता है#,jab# vasudev# ki# aathavin# santan# kanya# hoti# hai# tab# bhi# use# sandeh# hota# hai# ,@jab vasudev ki aathvi santaan kanya hoti hai tab bhi use sandeh hota hai#
21,@इससे सन्तुष्ट होकर इन्द्रादि देवता अपने अपने स्थानों को वापस चले गये#,isse# santusht# hokar# indradi# devata# apne# apne# sthanon# ko# vapas# chale# gaye# ,@isase santuth hokar indradi devta apne apne stanon ko waapas chale gaye#
22,@आवर्त सारणी#,aavart# sarani# ,@aavart sarni#
23,@कंस से मुक्ति पाने का उपाय सुझाते हुए वह नंद से कहती है सबसे पहले प्रजा की चेतना को कंस के कारागार से मुक्त करना होगा#,kans# se# mukti# pane# ka# upay# sujhate# huye# vah# nand# se# kahti# hai# sabse# pahle# praja# ki# chetana# ko# kans# ke# karagar# se# mukt# karana# hoga# ,@kans se mukti paane ka upay sujhate hue vah nand se kehti hai sabse pehle praja ki chetna ko kans ke karagar se mukt karna hoga#
24,@इसका सबसे पहला प्रयोग  के दशक में कार्ल जैन्सकी karl jansky नामक अमेरिकी खगोलशास्त्री ने किया था जब उन्होंने आकाशगंगा हमारी गैलेक्सी से विकिरण रेडियेशन आते हुए देखा#,iska# sabse# pahla# prayog# ke# dashak# men# karl# jansky# karl# jansky# namak# americi# khagolshastri# ne# kiya# tha# jab# unhone# aakashganga# hamari# gailexi# se# vikiran# rediyonay# aate# huye# dekha# ,@iska sabse pehla prayog  ke dashak me karl jansky karl jansky namak americi khagolshastri ne kiya tha jab unhone akashaganga hamari galaxy se vikiran radiation aate hue dekha#
25,@है#,hai# ,@hai#
26,@और आखिरकार  में कैप्टन माउंटगुमरी दो ऐसे लोग मिल ही गए#,aur# akhirkar# men# kaptan# mauntgumri# do# aise# log# mil# hi# gae# ,@aur akhirakar  me captain mountgumri do aise log mil hi gae#
27,@सन्  तक इसे गिनीज़ बुक ऑफ रिकॉर्ड्स अमेरिका में गिनीज़ बुक ऑफ़ वर्ल्ड रिकॉर्ड्स के नाम से जाना जाता था#,san# tak# ise# ginij# buk# of# records# america# men# ginij# buk# of# varld# records# ke# nam# se# jana# jata# tha# ,@sann  tak ise ginij book off rcords america men ginij book off world records ke naam se jana jata tha#
28,@भागवत के अनुसार राजा जनक के पुत्र जिनकी बहन सीता और उर्मिला थीं#,bhagavat# ke# anusar# raja# janak# ke# putra# jinki# bahan# seeta# aur# urmila# thin# ,@bhagavata ke anusara raja janaka ke putra jinaki bahana sita aura urmila thim#
29,@भारतीय मोर वीडियो#,bhartiy# mor# video# ,@bharatiy mor video#
30,@जब मातापिता दोनों में सिकलसेल लक्षण as होते हैं तो एक बच्चे को सिकल सेल रोग ss होने की  संभावना होती है जैसा कि चित्र में दिखाया गया है#,jab# matapita# donon# men# sikalsel# lakshan# as# hote# hain# to# ek# bacche# ko# sikal# sel# rog# ss# hone# ki# sambhavana# hoti# hai# jaisa# ki# chitra# men# dikhaya# gaya# hai# ,@jab matapita donon men sikalcel lakshan as hote hain to ek bacche ko sikal cel rog ss hone ki  sambhavna hoti hai jaisa ki chitr men dikhaya gaya hai#
31,@इसे छत्तीसगढ़ में कुसली#,ise# chattisgadhah# men# kusli# ,@ise chhattisgarah men kusli#
32,@बीज से तेल निकाला जाता है#,bij# se# tel# nikala# jata# hai# ,@beej se tel nikala jaata hai#
33,@लंदन के आसपास की भूमि केंट सरे तथा ससेक्स राजधानी की फल तरकारियों तथा दूध आदि की मांग की पूर्ति के लिए अधिक प्रयुक्त होती है#,london# ke# aaspaas# ki# bhumi# kent# sare# tatha# saseks# rajdhani# ki# fal# tarakariyon# tatha# dudh# aadi# ki# mang# ki# purti# ke# liye# adhik# prayukt# hoti# hai# ,@london ke aspas ki bhumi kent sare tatha sussex rajdhani ki fal tarkariyo tatha dudh adi ki mang ki purti ke lie adhik prayukt hoti hai#
34,@इसके अलावा वाणिज्यिक कार्ड व्यापक डेटा और रिपोर्टिंग समाधान प्रस्तावित करता है जो कर्मचारी के खर्च पर नज़र रखने और उनपर नियंत्रण रखने में ग्राहकों की सहायता करता है#,iske# alawa# vanijyik# kard# vyapak# deta# aur# reporting# samadhan# prastaavit# karta# hai# jo# karmchari# ke# kharch# par# najar# rakhane# aur# unpar# niyantran# rakhane# men# grahakon# ki# sahayata# karta# hai# ,@iske alawa vanijyik card vyapak data aur reporting samadhan prastaavit karta hai jo karmachaari ke kharcha par najar rakhne aur unpar niyantran rakhne mein grahakon ki sahaayata kartaa hai#
35,@रोग प्रकोप के पहले संकेत या बायोटेरिज़्म हमले के निदान चिकित्सक या प्रयोगशाला से निश्चित नहीं किया जा सकता है#,rog# prakop# ke# pahle# sanket# ya# bayoterijm# hamle# ke# nidan# chikitsak# ya# prayogshala# se# nishchit# nahin# kiya# ja# sakta# hai# ,@rog prakop ke pahle sanket ya bayoterijm hamle ke nidaan chikitsak ya prayogshala se nishchit nahin kiya ja sakta hai#
36,@एक लाल बन्डाना के अलावा स्पैरो अपने बालों में कई तरह की चीज लगाता है जो कीथ रिचर्ड्स की अपनी यात्राओं के जरिये स्मृति चिह्नों को जुटाने की आदत से प्रभावित है स्पैरो की सजावटों में उनका आठ का टुकड़ा भी शामिल है#,ek# lal# bandana# ke# alawa# sparr# apne# balon# men# kai# tarah# ki# cheej# lagata# hai# jo# kith# rechards# ki# apni# yatraon# ke# jariye# smruti# chihnon# ko# jutane# ki# aadat# se# prabhavit# hai# sparr# ki# sajavaton# men# unka# aath# ka# tukda# bhi# shamil# hai# ,@ek lal bandana ke alava sparrow apne balon men kai tarah ki cheej lagata hai jo keith richards ki apni yatraon ke jariye smruti chinhon ko jutane ki adat se prabhavit hai sparrow ki sajavaton men unka aath k tukda bhi shamil hai#
37,@अल्मोड़ा में  अप्रैल  को गोरखा प्रतिनिधि बमशाह और लेफ्टिनेंट कर्नल गार्डनर के बीच हुई एक संधि के बाद नेपाली शासक ने इस क्षेत्र से हट जाने को स्वीकारा और इस क्षेत्र पर ईस्ट इण्डिया कंपनी का अधिकार हो गया#,almoda# men# april# ko# gorkha# pratinidhi# bamshah# aur# leftinent# karnal# gardaner# ke# bich# hui# ek# sandhi# ke# baad# nepali# shasak# ne# is# kshetra# se# hat# jane# ko# swikara# aur# is# kshetra# par# est# indiya# company# ka# adhikar# ho# gaya# ,@almoda mein  april  ko gorkha pratinidhi bamshah aur leftinent colonel gardener ke bich hui ek sandhi ke baad nepali shaasak ne is kshetra se hat jane ko svikara aur is kshetr par east india company ka adhikaar ho gaya#
38,@भूमि संपत्ति#,bhumi# sampatti# ,@bhumi sampatti#
39,@इमाम मुस्लिम के गुरु और शिष्यों का वर्णन  हैप्पी बुक्स#,imam# muslim# ke# guru# aur# shishyon# ka# varnan# happy# buks# ,@imam muslim ke guru aur shishyon ka varnan  happy books#
40,@राष्ट्रमंडल नागरिकता की अवधारणा तब से अस्तित्व में है जब से राष्ट्रमंडल राष्ट्रों की स्थापना हुई है#,rashtramandal# nagrikta# ki# avadharna# tab# se# astitv# men# hai# jab# se# rashtramandal# rashtron# ki# sthapana# hui# hai# ,@rashtramandal nagrikta ki avdharna tab se astitv me hai jab se rashtrmandal rashtro ki sthapna hui hai#
41,@विभिन्न राष्ट्रीय एवं अंतर्राष्ट्रीय जर्नल पत्र पत्रिकाओं में कई लेख अनेकों शोधपत्र प्रकाशित#,vibhinn# rashtriy# aim# antarrashtriy# jarnal# patr# patrikaon# men# kai# lekh# anekon# shodhpatra# prakashit# ,@vibhinna rashtriya evam anarrashtriy journal patra ptarikaon men kai lekh anekon shodhpatra prakashit#
42,@से  तक यूनाइटेड किंगडम विशेष बल में चयन के बाद उन्होंने यूनाइटेड किंगडम विशेष बल के  रेजिमेंट विशेष वायु सेवा  sas r के साथ घुड़सवार सिपाही जीवनरक्षा प्रशिक्षक और गश्ती चिकित्सक के रूप में अंशकालीन सेवा की#,se# tak# united# kingdom# vishes# bal# men# chayan# ke# baad# unhone# united# kingdom# vishes# bal# ke# resiment# vishes# vayu# seva# sas# r# ke# sath# ghudsawar# sipahi# jeevanraksha# prashikshak# aur# gashti# chikitsak# ke# rup# men# anshkaalin# seva# ki# ,@se  tak united kingdom vishesh bal me chayan ke baad unhone united kingdom viesh bal ke  regiment vishes vaayu seva  sas r ke sath ghudsawar sipahi jeevanraksha prashikshk aur gashti chikitsak ke roop men anshkaalin seva kii#
43,@अपने पहले अभियान के सफल होने के बाद रामेसेस ने अपने शासन काल के पाँचवे वर्ष पर कादेश नगर पर हमला किया जो हित्तिते साम्राज्य का अधीन था पर पहले सेती प्रथम के अधीन था#,apne# pahle# abhiyan# ke# safal# hone# ke# baad# rameses# ne# apne# shasan# kaal# ke# panchave# varsh# par# kadesh# nagar# par# hamla# kiya# jo# heettite# samrajya# ka# adhin# tha# par# pahle# seti# pratham# ke# adhin# tha# ,@apne pahale abhiyan ke safal hone ke baad rameses ne apne shasan kal ke panch varsh par kadesh nagar par hamla kiya jo hitite samrajya ka adhin tha par pahale seti pram ke adhin tha#
44,@एक एथनोआर्कियोलॉजिकल तुलना करते हुए वे बताते हैं कि उत्तरमध्य अलास्का के न्यूनाम्यूट एस्किमो शिकारी अपने शिकार की प्रतीक्षा करते हुए कैसे समय व्यतीत करते थे तथा उस समय के दौरान वे समय व्यतीत करने के लिए किस प्रकार के कार्य करते थे जिनमें विविध वस्तुओं पर नक्काशी जैसे कि काष्ठ के सांचे मुखौटे सींग की चम्मचें हाथीदांत की सुई के साथ साथ चमड़े के थैलों तथा हरिण की खाल से बने मोजों की मरम्मत आदि सम्मिलित थे#,ek# ethanoliyogyilogyilogyilogyilogyilo tulna# karte# huye# ve# batate# hain# ki# uttarmadhya# alaska# ke# newamyute# askimo# shikari# apne# shikar# ki# pratiksha# karte# huye# kaise# samay# vyatit# karte# the# tatha# us# samay# ke# dauran# ve# samay# vyatit# karne# ke# liye# kis# prakar# ke# karya# karte# the# jinmen# vividh# vastuon# par# nakkashi# jaise# ki# kasht# ke# sanche# mukhaute# sing# ki# chammchen# hathidant# ki# sui# ke# sath# sath# chamde# ke# thailon# tatha# haren# ki# khal# se# bane# moson# ki# marmmat# aadi# sammilit# the# ,@ek aethnoaakiyolojikal tulna karte huye we batate hain ki uttarmadhy alaska ke nyunamyut askimo shikari apne shikar ki pratiksha karte huye kaise samay vyatit karte the tatha us samay ke dauran we samay vyatit karne ke liye kis prakar ke kary karte the jinmen vividh vastuon par nakkashi jaise ki kasht ke sanche mukhaute sing ki chmmchen hathidant ki sui ke sath sath chamde ke thailon ttatha harin ki khal se bane mojon ki marmmat aadi sammilit the#
45,@चलना फिरना भी इस मौसम में कष्टदायक हो जाता है#,chalana# firna# bhi# is# mausam# men# kashtdaayak# ho# jata# hai# ,@chalna firna bhi is mausam me kashtdaayak ho jaata hai#
46,@क्रिस्टलीय ठोस साधारणत ः लघु क्रिस्टलों की अत्यधिक संख्या से बना होता है उनमें प्रत्येक का निश्चित ज्यामितिय आकार होता है#,kristliy# thos# sadharanat# hah# laghu# kristalom# ki# atyadhik# sankhya# se# bana# hota# hai# unmen# pratyek# ka# nishchit# jyamitiy# aakar# hota# hai# ,@crystaliy thos sadharan tah laghu crystalon ki atyadhik sankhya se bana hota hai unmen pratyek ka nischit jyamitiy aakar hota hai#
47,@मादा के सिर और गले पर भूरा रंग नहीं होता है#,mada# ke# sir# aur# gale# par# bhura# rang# nahin# hota# hai# ,@maada ke sir aur gale par bhura rang nahi hota hai#
48,@उद्धरिष्यति कौटिल्य सभा द्वादशीम सुतान्#,uddhrishyati# kautilya# sabha# dwadshim# sutann# ,@uddhrishyati koutilya sabha dwadshim sutann#
49,@उनके उपन्यासों की भाषा की खूबी यह है कि शब्दों के चुनाव एवं वाक्ययोजना की दृष्टि से उसे सरल एवं बोलचाल की भाषा कहा जाता है#,unke# upanyason# ki# bhasha# ki# khubi# yah# hai# ki# shabdon# ke# chunav# aim# vakyayojana# ki# drushti# se# use# saral# aim# bolchal# ki# bhasha# kaha# jata# hai# ,@unke upanyaason ki bhasa ki khubi yah hai ki shabdon ke chunaav evam vaakyayojanaa ki dristi se use saral evam bolchaal ki bhasa kaha jata hai#
50,@लकडी आदि को जोड़ना या मिलाना जोड़ने का काम बढ़ईगिरी#,lakdi# aadi# ko# jodna# ya# milana# jodne# ka# kam# badhaigiri# ,@lakdi aadi ko jodna ya milana jodne ka kaam badhaigiri#
51,@इन  सालों में इस समुदाय का जो हर क्षेत्र में नुकसान हुआ है उसकी भरपाई कैसे होगी#,in# salon# men# is# samuday# ka# jo# har# kshetra# men# nuksaan# hua# hai# uski# bharpai# kaise# hogi# ,@in  salon men is samuday ka jo har kshetra men nuksaan hua hai uski bharpaai kaise hogi#
52,@इस शती में मनुष्य की कार्यक्षमता और उसकी सुखसामग्रियों में कल्पनातीत अभिवृद्धि हुई है#,is# shati# men# manushya# ki# karykshamata# aur# uski# sukhsamgriyon# men# kalpanatit# abhivruddhi# hui# hai# ,@is shati men manushya ki karyakshamata aur uski sukhsamgriyon men kalpanatit abhivruddhi hui hai#
53,@उन्होंने कोशी नदी के बाढ़ के दौरान प्रकाश झा के साथ बिहार बाढ़ राहत मिशन पर काम किया#,unhone# koshi# nadi# ke# badh# ke# dauran# prakash# jha# ke# sath# bihar# badh# rahat# misan# par# kam# kiya# ,@unhone koshi nadi ke baadh ke dauraan prakash jha ke saath bihar baadh rahat mishan par kam kiya#
54,@सौरमान एवं चांद्रमान के  महीनों में  महीने का अंतर पड़ जाता है#,saurmaan# aim# chandramaan# ke# mahinon# men# mahine# ka# antar# pad# jata# hai# ,@saurmaan evam chandramaan ke  mahinon mein  mahine ka antar pada jata hai#
55,@दिनशॉ दाजी#,dinsha# daji# ,@dinshaw daji#
56,@चालुक्य विक्रम संवत्  कल्याणपुर आंध्र के चालुक्य सोलंकी राजा विक्रमादित्य छठे ने शक संवत्‌ स्थान पर चालुक्य संवत्‌ चलाया#,chalukya# vikram# sanvat# kalyanpur# andhra# ke# chalukya# solanki# raja# vikramaditya# chathe# ne# shak# sanvat‌# sthan# par# chalukya# sanvat‌# chalaya# ,@chalukya vikram sanvat  kalyanpur andhra ke chalukya solanki raja vikramaditya chathe ne shak sanvat sthan par chalukya sanvat chalaya#
57,@भारतीय मुद्रा के निर्माण की कहानी#,bhartiy# mudra# ke# nirman# ki# kahani# ,@bharatiy mudra ek nirman ki kahani#
58,@कैंसर या कर्कटार्बुद   वर्ष के अधिक आयुवालों में यदि अपच के लक्षण हों जो साधारण चिकित्सा से न ठीक होते हों तो कैंसर का संदेह करना चाहिए जब तक परीक्षाओं से कैंसर न होने के संतोषजनक प्रमाण न मिल जाएँ#,kancer# ya# karkatarbud# varsh# ke# adhik# aayuvalon# men# yadi# apch# ke# lakshan# hon# jo# sadharan# chikitsa# se# n# thik# hote# hon# to# kancer# ka# sandeh# karana# chahiye# jab# tak# parikshaon# se# kancer# n# hone# ke# santoshjanak# praman# n# mil# jaye# ,@cancer ya karkatarbud   varsh ke adhik ayuvalo me yadi apach ke lakshana ho jo sadharan chikitsa se na thik hote ho to cancer ka sandeh karna chahie jab tak parikshao se cancer na hone ke santoshjanak praman na mil jae#
59,@हालांकि होऊइहन्म का उल्लेख नहीं किया गया है#,halanki# houihnm# ka# ullekh# nahin# kiya# gaya# hai# ,@halanki houihanm ka ullekh nahin kiya gaya hai#
60,@सबसे पहले  में इलाहाबाद आने के बाद उन्होंने टण्डनजी के साथ भारत सेवक संघ की इलाहाबाद इकाई के सचिव के रूप में काम करना शुरू किया#,sabse# pahle# men# ilahabaad# ane# ke# baad# unhone# tandanje# ke# sath# bharat# sevak# sangh# ki# ilahabaad# ikai# ke# sachiv# ke# rup# men# kam# karana# shuru# kiya# ,@sabse pahle  men ilahabaad aane ke baad unhone tandanji ke sath bharat sevak sangh ki ilahabaad ikai ke sachiv ke roop men kaam karna shuru kiya#
61,@कांट ने इस युक्ति को माना नहीं परंतु कहा कि जो अन्य युक्तियाँ दी जाती हैं वे एन्सैल्म की युक्ति की रूपांतर ही हैं#,kant# ne# is# yukti# ko# mana# nahin# parantu# kaha# ki# jo# anya# yuktiyan# di# jati# hain# ve# ansalm# ki# yukti# ki# rupantar# hi# hain# ,@kant ne is yukti ko mana nahi parantu kaha ki jo anya yuktiyan di jati hi ve enselm ki yukti ki rupantar hi hai#
62,@इस दृष्टि से यह संस्था भारतीय भाषाओं की आवाज है#,is# drushti# se# yah# sanstha# bhartiy# bhashaon# ki# aawaj# hai# ,@is drushti se yah sanstha bhartiy bhashaon ki aawaaj hai#
63,@उपयुक्त चिकित्सा न होने से इसके कई मुँह बन जाते हैं#,upayukt# chikitsa# n# hone# se# iske# kai# mumh# ban# jate# hain# ,@upayukt chikitsa n hone se iske kai muh ban jate hain#
64,@इस राजवंश की नीव याक़ूब बिन लैथ़ अससफ़्फ़ार ने रखी जो एक स्थानीय अय्यार लड़ाका था#,is# rajvansh# ki# niv# yakub# bin# laith# assaffar# ne# rakhi# jo# ek# sthaniy# ayyar# ladaka# tha# ,@is rajvansh ki niv yaqub bin laith assaffar ne rakhi jo ek sthaniya ayyar ladka tha#
65,@अमेरिकी आधुनिकता  स्टुअन डेविस आर्थर जी डोव मार्स्डन हार्टले जॉर्जिया ओकीफ़ी#,americi# aadhunikta# stuan# devis# aarthar# ji# dov# marsden# hartale# jorgia# ocki# ,@americi aadhunikta  stuan davis arthur g dove masdern hartle georgia okifi#
66,@उन्नीसवीं शताब्दी के संथाल गीतों और मिथकों में उनकी यात्रा के लंबे इतिहास का बारबार उल्लेख किया गया है उनमें कहा गया है कि संथाल लोग अपने लिए बसने योग्य स्थान की खोज में बराबर बिना थके चलते ही रहते थे#,unnisvin# shatabdi# ke# santhal# geeton# aur# mithakom# men# unki# yatra# ke# lambe# itihaas# ka# barbar# ullekh# kiya# gaya# hai# unmen# kaha# gaya# hai# ki# santhal# log# apne# liye# basne# yogya# sthan# ki# khoj# men# barabar# bina# thake# chalte# hi# rahte# the# ,@unnisvi shatabdi ke santhal geeton aur mithakom men unki yatra ke lambe itihas ka baarbaar ullekh kiya gaya hai unmen kaha gaya hai ki santhal log apne liye basne yogya sthan ki khoj men barabar bina thake chalte hi rahte the#
67,@चंपक ताम्रपत्र का इ इ भा  पृ  इस वाकाटक राजा के विनाश के संबंध में कुछ लोगों की असत्य धारण बनी हुई है कि गुप्तवंश के उत्थान से रुद्रसेन प्रथम नष्ट हो गया#,champak# tamrapatra# ka# i# i# bha# pru# is# vakatak# raja# ke# vinash# ke# sambandh# men# kuch# logon# ki# astya# dharan# bani# hui# hai# ki# guptvansh# ke# utthan# se# rudrasen# pratham# nasht# ho# gaya# ,@champak tamrapatra ka e e bha  pra  is wakatak raja ke vinash ke sambandh mein kuch logon ki asatya dharana bani hui hai ki guptvansh ke utthan se rudrasen pratham nasht ho gaya#
68,@उत्तराखण्ड की संस्कृति#,uttarakhand# ki# sanskruti# ,@uttarakhand ki sanskriti#
69,@बैंड अपने पहले बृहद दौरे के लिए अमेरिका वापस आया जहां उनके साथ थे सॉफ्ट मशीन और द हू#,band# apne# pahle# bruhd# daure# ke# liye# america# vapas# aaya# jahan# unke# sath# the# swoft# mashin# aur# d# hu# ,@baind apne pahle brihad daure ke liye america vaapas aaya jahan unke saath the sauft mashin aur d hoo#
70,@यह अपनी आभासी दुनिया में चारों ओर देखने मेनू को ब्राउज़ करने में सहायता करता है#,yah# apni# aabhasi# duniya# men# charo# or# dekhane# menu# ko# brauz# karne# men# sahayata# karta# hai# ,@yah apni abhasi duniya mein charon or dekhne menu ko browse karne mein sahayta karta hai#
71,@मेलबर्न विक्टोरिया कॉलिन्स स्ट्रीट चैडस्टोन शौपिंग सेंटर#,melborn# viktoria# kolins# stret# chadeston# shauping# senter# ,@melborne victoriya colins strit chaidsten shoping center#
72,@उसकी यात्राएँ केवल भूदृश्यों के प्यार और अज्ञात की खोज से ही प्रेरित नहीं थीं#,uski# yatraye# keval# bhudrishyon# ke# pyar# aur# agyat# ki# khoj# se# hi# prerit# nahin# thin# ,@uski yatrayen keval bhudrushyon ke pyar aur agyat ki khoj se hi prerit nahi thi#
73,@उसका विश्व के प्रत्येक प्रदेश में निवास है#,uska# vishwa# ke# pratyek# pradesh# men# nivas# hai# ,@uska vishva ke pratyek pradesh mein niwas hai#
74,@वरबिंस्की और ब्रुकहेमर को डेप पर भरोसा था आंशिक रूप से क्योंकि ऑरलैंडो ब्लूम परंपरागत एरल फ्लेन की तरह का पात्र निभा रहा होगा#,varbinski# aur# brukahemar# ko# dep# par# bharosa# tha# anshik# rup# se# kyonki# orlando# blum# paramparagat# arl# flen# ki# tarah# ka# patr# nibha# raha# hoga# ,@varbinski aur brukahemar ko dep par bharosa tha anshik rup se kyonki oralando bloom paramparagat eral phlen ki tarah ka patra nibha raha hoga#
