,input,output,expected
14,@समान नागरिक संहिता अथवा समान आचार संहिता का अर्थ एक धर्मनिरपेक्ष सेक्युलर कानून होता है जो सभी धर्म के लोगों के लिये समान रूप से लागू होता है#,saman# nagarik# santahi# athwar saman# aachar santahi# ka# arth# ek# dharsheshinerer sekasural kanun# hota ha# jo# sabhi# dharma# ken# logon# ken# leej# saman# upur se# lahoo# hota ha# ,@saman nagrik sanhita athva samaan aachar sanhita ka arth ek dharmniripeksh sekyular kanun hota hai jo sabhi dharm ke logon ke liye samaan roop se lagu hota hai#
15,@भगवान शिव के ज्योर्ति लिंगों की कथा ईशान कल्प के वृत्तान्त सर्वविसर्ग आदि दशा लक्षणों सहित वर्णित है#,bhagwan# shivar ken# yovadityon leengon# ki# katha# ishna# kalp ken# vruttant# sarvasangwar# aadi# dasaha# lakshanon# sahit# varnit# ha# ,@bhagwan shiv ke jyorti lingon ki kathaa ishan kalp ke vrittaant sarvavisarga aadi dashaa lakshnon sahit varnit hai#
16,@खजुराहो की अनुपम ललितकला और स्थापत्य भी इसी की उपज हैं#,shajudharon ki# anpum# lalilitala aur# statanthya# bhi# isi# ki# upan# hain# ,@khajuraho ki anupm lalitkala aur sthaapatya bhi isi ki upaj hain#
17,@वाक्पति मुंज का काल परमारों के लिए गौरव का काल था#,vakatani# mung ka# kal# parmaanaron# ken# lee# gurvar ka# kal# tha# ,@wakpati munj ka kaal parmaron ke liye gaurav ka kaal tha#
18,@दूसरे पत्र के प्रश्नों के जरिए परिक्षार्थियों के संवाद कौशल भाषायी ज्ञान निर्णय व विश्लेषण क्षमता और मानसिक दक्षता यानी व्यक्तित्व व उसके रुझानों की पड़ताल होगी#,dusera# patra# ken# prashno# ken# saver# pariksharthyo# ken# sanvad# khaulana# bhashayi# gyan# ninariy# va visheshan# kshamat# aur# manisan dakshaat yani# vyaktitv# va uske# urojanaon# ki# padhalta# hogi# ,@dusre patr ke prashno ke jarie pariksharthiyo ke sanvad kaushal bhashayi gyan nirnay va vishleshan kshamta aur mansik dakshta yani vyaktitva va uske rujhano ki padatala hogi#
19,@अपने मरीजों का वर्णन एक विशिष्ट स्मृति के क्षीणकरण वाले मरीज और धीरेधीरे उत्पन्न होने वाली अवधारणाओं के रूप में करते हुए चार्कोट ने ज्ञान संबंधी परिवर्तनों को भी अवलोकित किया#,apne# merico# ka# varnan# ek# vishisht# smetri# ken# kshikaranan# wale# merice# aur# dhiredhire# upatnan hone# wali# adhavanagaran# ken# upur men# katare# huo# charkot# ne# gyan# sambandhi# parivartan# ko# bhi# afalikont# kiya# ,@apne marijon ka varnan ek vishisht smruti ke kshinkaran vale marij aur dhiredhire utpann hone vali avdharanaon ke roop mein karte huye charcott ne gyan sambandhi parivartanon ko bhi avlokit kiya#
20,@जब वसुदेव की आठवीं संतान कन्या होती है तब भी उसे संदेह होता है#,jab# vduseva ki# aathivin santan# kanya# hoti# ha# tab bhi# use# sandeh# hota ha# ,@jab vasudev ki aathvi santaan kanya hoti hai tab bhi use sandeh hota hai#
21,@इससे सन्तुष्ट होकर इन्द्रादि देवता अपने अपने स्थानों को वापस चले गये#,isse# santusht# hokar# indradi# devata apne# apne# sthanantar# ko# vapas# chale# gye# ,@isase santuth hokar indradi devta apne apne stanon ko waapas chale gaye#
22,@आवर्त सारणी#,aavarat# sarani# ,@aavart sarni#
23,@कंस से मुक्ति पाने का उपाय सुझाते हुए वह नंद से कहती है सबसे पहले प्रजा की चेतना को कंस के कारागार से मुक्त करना होगा#,kand# se# mukti# panae# ka# upaaya# shujeo# huo# vah# ndand se# kahati# ha# sabse# ple# praja# ki# chetana ko# kand# ken# karagar se# must karana# hoga ,@kans se mukti paane ka upay sujhate hue vah nand se kehti hai sabse pehle praja ki chetna ko kans ke karagar se mukt karna hoga#
24,@इसका सबसे पहला प्रयोग  के दशक में कार्ल जैन्सकी karl jansky नामक अमेरिकी खगोलशास्त्री ने किया था जब उन्होंने आकाशगंगा हमारी गैलेक्सी से विकिरण रेडियेशन आते हुए देखा#,iskaa# sabse# malapa# prayog ken# dashak# men# carlaar jaiski# padar pashand# namak# americari# chalitroprishi# ne# kiya# tha# jab# unhone# aagkanghana# hamari# gelix# se# vikrin# rection# aate# huo# dekha# ,@iska sabse pehla prayog  ke dashak me karl jansky karl jansky namak americi khagolshastri ne kiya tha jab unhone akashaganga hamari galaxy se vikiran radiation aate hue dekha#
25,@है#,ha# ,@hai#
26,@और आखिरकार  में कैप्टन माउंटगुमरी दो ऐसे लोग मिल ही गए#,aur# aakhirkaaran# men# kaipalt# manmaruchteng do# aise# loga# mili# hi# ge# ,@aur akhirakar  me captain mountgumri do aise log mil hi gae#
27,@सन्  तक इसे गिनीज़ बुक ऑफ रिकॉर्ड्स अमेरिका में गिनीज़ बुक ऑफ़ वर्ल्ड रिकॉर्ड्स के नाम से जाना जाता था#,san# tak# ise# gencer# buk# fay# ricordasse americarina men# gencer# buk# fay# valard# ricordasse ken# nam# se# jana# jata# tha# ,@sann  tak ise ginij book off rcords america men ginij book off world records ke naam se jana jata tha#
28,@भागवत के अनुसार राजा जनक के पुत्र जिनकी बहन सीता और उर्मिला थीं#,bhavagat# ken# anusara# raja# jank# ken# putra jinki# bahan# sitar aur# urlila thin# ,@bhagavata ke anusara raja janaka ke putra jinaki bahana sita aura urmila thim#
29,@भारतीय मोर वीडियो#,bharatiy# mor# video# ,@bharatiy mor video#
30,@जब मातापिता दोनों में सिकलसेल लक्षण as होते हैं तो एक बच्चे को सिकल सेल रोग ss होने की  संभावना होती है जैसा कि चित्र में दिखाया गया है#,jab# matapita# dono men# skikalle# lakshan# ass hote# hain# to# ek# bchecce# ko# sikal# sel# rog sasa# hone# ki# manbhavana# hoti# ha# jas# ki# chitra men# dikhaya# gya# ha# ,@jab matapita donon men sikalcel lakshan as hote hain to ek bacche ko sikal cel rog ss hone ki  sambhavna hoti hai jaisa ki chitr men dikhaya gaya hai#
31,@इसे छत्तीसगढ़ में कुसली#,ise# chatidhikarana men# kusali# ,@ise chhattisgarah men kusli#
32,@बीज से तेल निकाला जाता है#,beej# se# tel# nikala jata# ha# ,@beej se tel nikala jaata hai#
33,@लंदन के आसपास की भूमि केंट सरे तथा ससेक्स राजधानी की फल तरकारियों तथा दूध आदि की मांग की पूर्ति के लिए अधिक प्रयुक्त होती है#,landan# ken# aapsaas# ki# bhumi# kent# sare# tath# sasesso rajdhani# ki# fala# ravariyo# tath# dudh# aadi# ki# mang# ki# purti# ken# lee# adhik# paryakt# hoti# ha# ,@london ke aspas ki bhumi kent sare tatha sussex rajdhani ki fal tarkariyo tatha dudh adi ki mang ki purti ke lie adhik prayukt hoti hai#
34,@इसके अलावा वाणिज्यिक कार्ड व्यापक डेटा और रिपोर्टिंग समाधान प्रस्तावित करता है जो कर्मचारी के खर्च पर नज़र रखने और उनपर नियंत्रण रखने में ग्राहकों की सहायता करता है#,iske# alawaha# vanikriyan# kard# vyaapasha deta# aur# rippatihong# shamadata# prastantri# katar# ha# jo# carmikari# ken# charch# par# nazar# rakhane# aur# unpar# nimatanar# rakhane# men# grahank# ki# sahayta# katar# ha# ,@iske alawa vanijyik card vyapak data aur reporting samadhan prastaavit karta hai jo karmachaari ke kharcha par najar rakhne aur unpar niyantran rakhne mein grahakon ki sahaayata kartaa hai#
35,@रोग प्रकोप के पहले संकेत या बायोटेरिज़्म हमले के निदान चिकित्सक या प्रयोगशाला से निश्चित नहीं किया जा सकता है#,rog parkopa# ken# ple# sanket# ya# bayatihesiyon hamale# ken# nidan# chikshak# ya# pyrayogshaa se# nishishch# nahin# kiya# ja# sakta# ha# ,@rog prakop ke pahle sanket ya bayoterijm hamle ke nidaan chikitsak ya prayogshala se nishchit nahin kiya ja sakta hai#
36,@एक लाल बन्डाना के अलावा स्पैरो अपने बालों में कई तरह की चीज लगाता है जो कीथ रिचर्ड्स की अपनी यात्राओं के जरिये स्मृति चिह्नों को जुटाने की आदत से प्रभावित है स्पैरो की सजावटों में उनका आठ का टुकड़ा भी शामिल है#,ek# lal# bandaan# ken# alawaha# spaitaro# apne# balara# men# kai# tarah# ki# chi# lagta# ha# jo# kith# richkard ki# apni# yataraon# ken# yairine smetri# chinon# ko# jutane# ki# aadat# se# prabhaanit ha# spaitaro# ki# sajavato# men# unka# aath# ka# thusa# bhi# shamil# ha# ,@ek lal bandana ke alava sparrow apne balon men kai tarah ki cheej lagata hai jo keith richards ki apni yatraon ke jariye smruti chinhon ko jutane ki adat se prabhavit hai sparrow ki sajavaton men unka aath k tukda bhi shamil hai#
37,@अल्मोड़ा में  अप्रैल  को गोरखा प्रतिनिधि बमशाह और लेफ्टिनेंट कर्नल गार्डनर के बीच हुई एक संधि के बाद नेपाली शासक ने इस क्षेत्र से हट जाने को स्वीकारा और इस क्षेत्र पर ईस्ट इण्डिया कंपनी का अधिकार हो गया#,aldoma# men# apralap# ko# garchhara pratidini# bahashaah# aur# leftinent calanara# gardaran# ken# bbcch# huhi# ek# sandhi# ken# badaa nepali# sashasan ne# is# sheshtra se# hat# jane# ko# svikar# aur# is# sheshtra par# ebe# indiyaa# manpani# ka# adhikar# ho# gya# ,@almoda mein  april  ko gorkha pratinidhi bamshah aur leftinent colonel gardener ke bich hui ek sandhi ke baad nepali shaasak ne is kshetra se hat jane ko svikara aur is kshetr par east india company ka adhikaar ho gaya#
38,@भूमि संपत्ति#,bhumi# sanpatti# ,@bhumi sampatti#
39,@इमाम मुस्लिम के गुरु और शिष्यों का वर्णन  हैप्पी बुक्स#,imam# muslim# ken# guru# aur# shishyo# ka# varnan# hapapi# buksa# ,@imam muslim ke guru aur shishyon ka varnan  happy books#
40,@राष्ट्रमंडल नागरिकता की अवधारणा तब से अस्तित्व में है जब से राष्ट्रमंडल राष्ट्रों की स्थापना हुई है#,rashtahandambharan naghirashar ki# adhavarata# tab se# astrist men# ha# jab# se# rashtahandambharan rashtron# ki# stapana# huhi# ha# ,@rashtramandal nagrikta ki avdharna tab se astitv me hai jab se rashtrmandal rashtro ki sthapna hui hai#
41,@विभिन्न राष्ट्रीय एवं अंतर्राष्ट्रीय जर्नल पत्र पत्रिकाओं में कई लेख अनेकों शोधपत्र प्रकाशित#,vibhinna# rashityari# anva# antarrashtriya# jarneshar patra# patrikao# men# kai# lekha# anecon# shodhfardhtar parkashanit ,@vibhinna rashtriya evam anarrashtriy journal patra ptarikaon men kai lekh anekon shodhpatra prakashit#
42,@से  तक यूनाइटेड किंगडम विशेष बल में चयन के बाद उन्होंने यूनाइटेड किंगडम विशेष बल के  रेजिमेंट विशेष वायु सेवा  sas r के साथ घुड़सवार सिपाही जीवनरक्षा प्रशिक्षक और गश्ती चिकित्सक के रूप में अंशकालीन सेवा की#,se# tak# yunite# cymidgen# vishesh# bal# men# chayan# ken# badaa unhone# yunite# cymidgen# vishesh# bal# ken# retientine# vishesh# vayu# sewar assa aar ken# saath# ghudwarubaag sipari# jeevvashkara# parkshishan# aur# gahshi# chikshak# ken# upur men# anshanalik# sewar ki# ,@se  tak united kingdom vishesh bal me chayan ke baad unhone united kingdom viesh bal ke  regiment vishes vaayu seva  sas r ke sath ghudsawar sipahi jeevanraksha prashikshk aur gashti chikitsak ke roop men anshkaalin seva kii#
43,@अपने पहले अभियान के सफल होने के बाद रामेसेस ने अपने शासन काल के पाँचवे वर्ष पर कादेश नगर पर हमला किया जो हित्तिते साम्राज्य का अधीन था पर पहले सेती प्रथम के अधीन था#,apne# ple# abhinaya# ken# salat# hone# ken# badaa ramesose ne# apne# sashan# kal# ken# panche# varsh# par# kadesh# nagar# par# hamala# kiya# jo# hittidit# samarday# ka# adhin# tha# par# ple# seti# pratham# ken# adhin# tha# ,@apne pahale abhiyan ke safal hone ke baad rameses ne apne shasan kal ke panch varsh par kadesh nagar par hamla kiya jo hitite samrajya ka adhin tha par pahale seti pram ke adhin tha#
44,@एक एथनोआर्कियोलॉजिकल तुलना करते हुए वे बताते हैं कि उत्तरमध्य अलास्का के न्यूनाम्यूट एस्किमो शिकारी अपने शिकार की प्रतीक्षा करते हुए कैसे समय व्यतीत करते थे तथा उस समय के दौरान वे समय व्यतीत करने के लिए किस प्रकार के कार्य करते थे जिनमें विविध वस्तुओं पर नक्काशी जैसे कि काष्ठ के सांचे मुखौटे सींग की चम्मचें हाथीदांत की सुई के साथ साथ चमड़े के थैलों तथा हरिण की खाल से बने मोजों की मरम्मत आदि सम्मिलित थे#,ek# ethadiyogashaktiyonelp thalna# katare# huo# ve# batate# hain# ki# uttardhayant# alaskaa ken# nutyanyamanta acosmion shikari# apne# shikar# ki# partiksha# katare# huo# cane# samay# vyatit# katare# the# tath# us# samay# ken# dauran# ve# samay# vyatit# karne# ken# lee# kis# prakar# ken# carya# katare# the# jinmen# vividh# vastuon# par# nkashikara# jaise# ki# kasht# ken# sanche# mushetaon sing ki# chmmecce# hatandhit# ki# sui# ken# saath# saath# chameda# ken# shitalon# tath# harina# ki# shal# se# bane# moeno ki# mamaratma# aadi# smamitish the# ,@ek aethnoaakiyolojikal tulna karte huye we batate hain ki uttarmadhy alaska ke nyunamyut askimo shikari apne shikar ki pratiksha karte huye kaise samay vyatit karte the tatha us samay ke dauran we samay vyatit karne ke liye kis prakar ke kary karte the jinmen vividh vastuon par nakkashi jaise ki kasht ke sanche mukhaute sing ki chmmchen hathidant ki sui ke sath sath chamde ke thailon ttatha harin ki khal se bane mojon ki marmmat aadi sammilit the#
45,@चलना फिरना भी इस मौसम में कष्टदायक हो जाता है#,chalana# phinafa# bhi# is# mausam# men# dashyaktaas# ho# jata# ha# ,@chalna firna bhi is mausam me kashtdaayak ho jaata hai#
46,@क्रिस्टलीय ठोस साधारणत ः लघु क्रिस्टलों की अत्यधिक संख्या से बना होता है उनमें प्रत्येक का निश्चित ज्यामितिय आकार होता है#,cristirol# shosat sadharata# ha# lahu# criclome# ki# atadhiyan yankhya# se# bana# hota ha# unane# pratyesshan ka# nishishch# jyamiti# ekara# hota ha# ,@crystaliy thos sadharan tah laghu crystalon ki atyadhik sankhya se bana hota hai unmen pratyek ka nischit jyamitiy aakar hota hai#
47,@मादा के सिर और गले पर भूरा रंग नहीं होता है#,mada ken# sir aur# gale# par# bhura# rang# nahin# hota ha# ,@maada ke sir aur gale par bhura rang nahi hota hai#
48,@उद्धरिष्यति कौटिल्य सभा द्वादशीम सुतान्#,uddharishiy# cahutiyam# sabhaar dwadshil# sutana# ,@uddhrishyati koutilya sabha dwadshim sutann#
49,@उनके उपन्यासों की भाषा की खूबी यह है कि शब्दों के चुनाव एवं वाक्ययोजना की दृष्टि से उसे सरल एवं बोलचाल की भाषा कहा जाता है#,unke# upanyasaya# ki# bhasha# ki# chubi# yah# ha# ki# shabdo# ken# chunava# anva# vadakyayaona ki# drushti# se# use# saral# anva# bolchama ki# bhasha# kaha# jata# ha# ,@unke upanyaason ki bhasa ki khubi yah hai ki shabdon ke chunaav evam vaakyayojanaa ki dristi se use saral evam bolchaal ki bhasa kaha jata hai#
50,@लकडी आदि को जोड़ना या मिलाना जोड़ने का काम बढ़ईगिरी#,lakiba# aadi# ko# jomand# ya# milana jomen# ka# maram# badharige# ,@lakdi aadi ko jodna ya milana jodne ka kaam badhaigiri#
51,@इन  सालों में इस समुदाय का जो हर क्षेत्र में नुकसान हुआ है उसकी भरपाई कैसे होगी#,in# salan# men# is# samuday# ka# jo# har# sheshtra men# unkus# huh# ha# uski# bhanaari# cane# hogi# ,@in  salon men is samuday ka jo har kshetra men nuksaan hua hai uski bharpaai kaise hogi#
52,@इस शती में मनुष्य की कार्यक्षमता और उसकी सुखसामग्रियों में कल्पनातीत अभिवृद्धि हुई है#,is# shati# men# manushya# ki# karyshaamaakata# aur# uski# sugksamariyon# men# kalpatapat# abhivruddhit huhi# ha# ,@is shati men manushya ki karyakshamata aur uski sukhsamgriyon men kalpanatit abhivruddhi hui hai#
53,@उन्होंने कोशी नदी के बाढ़ के दौरान प्रकाश झा के साथ बिहार बाढ़ राहत मिशन पर काम किया#,unhone# cohosi# ndi# ken# badh# ken# dauran# parkasha# ha# ken# saath# bihaar# badh# rahaan# mishna# par# maram# kiya# ,@unhone koshi nadi ke baadh ke dauraan prakash jha ke saath bihar baadh rahat mishan par kam kiya#
54,@सौरमान एवं चांद्रमान के  महीनों में  महीने का अंतर पड़ जाता है#,saramauna# anva# chanananawaon ken# mahinon# men# maheni# ka# antar# pad# jata# ha# ,@saurmaan evam chandramaan ke  mahinon mein  mahine ka antar pada jata hai#
55,@दिनशॉ दाजी#,dinsha# daadi# ,@dinshaw daji#
56,@चालुक्य विक्रम संवत्  कल्याणपुर आंध्र के चालुक्य सोलंकी राजा विक्रमादित्य छठे ने शक संवत्‌ स्थान पर चालुक्य संवत्‌ चलाया#,chahulya# vikram sanwant# kalanupur# aadhantra# ken# chahulya# solinki# raja# vikramaditya# shetra# ne# shak# sanwat# shtana# par# chahulya# sanwat# chalaya# ,@chalukya vikram sanvat  kalyanpur andhra ke chalukya solanki raja vikramaditya chathe ne shak sanvat sthan par chalukya sanvat chalaya#
57,@भारतीय मुद्रा के निर्माण की कहानी#,bharatiy# mudra ken# nirmana# ki# kahani# ,@bharatiy mudra ek nirman ki kahani#
58,@कैंसर या कर्कटार्बुद   वर्ष के अधिक आयुवालों में यदि अपच के लक्षण हों जो साधारण चिकित्सा से न ठीक होते हों तो कैंसर का संदेह करना चाहिए जब तक परीक्षाओं से कैंसर न होने के संतोषजनक प्रमाण न मिल जाएँ#,kanskar# ya# karnidurata# varsh# ken# adhik# yayovalo# men# yadi# appach# ken# lakshan# hon jo# sadharan# chikitsa# se# na# thik# hote# hon to# kanskar# ka# sandeh# karana# chahiye# jab# tak# parikashan# se# kanskar# na# hone# ken# sansamatakosh# praman# na# mili# jaye# ,@cancer ya karkatarbud   varsh ke adhik ayuvalo me yadi apach ke lakshana ho jo sadharan chikitsa se na thik hote ho to cancer ka sandeh karna chahie jab tak parikshao se cancer na hone ke santoshjanak praman na mil jae#
59,@हालांकि होऊइहन्म का उल्लेख नहीं किया गया है#,halanki# hhodineshuma# ka# llekhesh# nahin# kiya# gya# ha# ,@halanki houihanm ka ullekh nahin kiya gaya hai#
60,@सबसे पहले  में इलाहाबाद आने के बाद उन्होंने टण्डनजी के साथ भारत सेवक संघ की इलाहाबाद इकाई के सचिव के रूप में काम करना शुरू किया#,sabse# ple# men# ihladala# aane# ken# badaa unhone# tanniji# ken# saath# bharat# seves# sangh# ki# ihladala# ikai# ken# sachivaat ken# upur men# maram# karana# shushra# kiya# ,@sabse pahle  men ilahabaad aane ke baad unhone tandanji ke sath bharat sevak sangh ki ilahabaad ikai ke sachiv ke roop men kaam karna shuru kiya#
61,@कांट ने इस युक्ति को माना नहीं परंतु कहा कि जो अन्य युक्तियाँ दी जाती हैं वे एन्सैल्म की युक्ति की रूपांतर ही हैं#,kant# ne# is# yukti# ko# mana# nahin# parantu# kaha# ki# jo# anya# yuktiyan# di# jati# hain# ve# aansmel# ki# yukti# ki# ruprantar hi# hain# ,@kant ne is yukti ko mana nahi parantu kaha ki jo anya yuktiyan di jati hi ve enselm ki yukti ki rupantar hi hai#
62,@इस दृष्टि से यह संस्था भारतीय भाषाओं की आवाज है#,is# drushti# se# yah# sanstha# bharatiy# bhashao# ki# aavajaaj# ha# ,@is drushti se yah sanstha bhartiy bhashaon ki aawaaj hai#
63,@उपयुक्त चिकित्सा न होने से इसके कई मुँह बन जाते हैं#,ufpadak# chikitsa# na# hone# se# iske# kai# muhan# ban# jatai# hain# ,@upayukt chikitsa n hone se iske kai muh ban jate hain#
64,@इस राजवंश की नीव याक़ूब बिन लैथ़ अससफ़्फ़ार ने रखी जो एक स्थानीय अय्यार लड़ाका था#,is# raveshanaj# ki# nive# yaoodas# bi# lath# aschardaf# ne# rakhi# jo# ek# shytaani# ayyar ladaka# tha# ,@is rajvansh ki niv yaqub bin laith assaffar ne rakhi jo ek sthaniya ayyar ladka tha#
65,@अमेरिकी आधुनिकता  स्टुअन डेविस आर्थर जी डोव मार्स्डन हार्टले जॉर्जिया ओकीफ़ी#,americari# aadhushna sutpoon# dev# aarthur ji# dov# markhanas# harletar# jojiyar# ekif# ,@americi aadhunikta  stuan davis arthur g dove masdern hartle georgia okifi#
66,@उन्नीसवीं शताब्दी के संथाल गीतों और मिथकों में उनकी यात्रा के लंबे इतिहास का बारबार उल्लेख किया गया है उनमें कहा गया है कि संथाल लोग अपने लिए बसने योग्य स्थान की खोज में बराबर बिना थके चलते ही रहते थे#,unnisveen# shaltani# ken# santhala# geetan# aur# mithakon# men# unki# yatar# ken# lambe# itihesa# ka# barahaar# llekhesh# kiya# gya# ha# unane# kaha# gya# ha# ki# santhala# loga# apne# lee# bassen# yogay# shtana# ki# choja# men# barabaar# bina# thak# chale# hi# rahate# the# ,@unnisvi shatabdi ke santhal geeton aur mithakom men unki yatra ke lambe itihas ka baarbaar ullekh kiya gaya hai unmen kaha gaya hai ki santhal log apne liye basne yogya sthan ki khoj men barabar bina thake chalte hi rahte the#
67,@चंपक ताम्रपत्र का इ इ भा  पृ  इस वाकाटक राजा के विनाश के संबंध में कुछ लोगों की असत्य धारण बनी हुई है कि गुप्तवंश के उत्थान से रुद्रसेन प्रथम नष्ट हो गया#,champan# tamarprat ka# i# i# bhaar pri# is# wakatak# raja# ken# vishan# ken# sambandh# men# kuch# logon# ki# astay# dharan# bani# huhi# ha# ki# gupatanvast ken# uttana# se# rudeshone# pratham# nasht# ho# gya# ,@champak tamrapatra ka e e bha  pra  is wakatak raja ke vinash ke sambandh mein kuch logon ki asatya dharana bani hui hai ki guptvansh ke utthan se rudrasen pratham nasht ho gaya#
68,@उत्तराखण्ड की संस्कृति#,uttarakhand# ki# sanskrity# ,@uttarakhand ki sanskriti#
69,@बैंड अपने पहले बृहद दौरे के लिए अमेरिका वापस आया जहां उनके साथ थे सॉफ्ट मशीन और द हू#,band# apne# ple# bhrud# daure# ken# lee# americarina vapas# aayaa# jahaan# unke# saath# the# stfa# mashin# aur# da hu# ,@baind apne pahle brihad daure ke liye america vaapas aaya jahan unke saath the sauft mashin aur d hoo#
70,@यह अपनी आभासी दुनिया में चारों ओर देखने मेनू को ब्राउज़ करने में सहायता करता है#,yah# apni# aabhasi# dunia# men# charano# ober dekhane# menoon# ko# brawaz karne# men# sahayta# katar# ha# ,@yah apni abhasi duniya mein charon or dekhne menu ko browse karne mein sahayta karta hai#
71,@मेलबर्न विक्टोरिया कॉलिन्स स्ट्रीट चैडस्टोन शौपिंग सेंटर#,melapurn’ vikritya# cliers# strit# chanopatk# sambnig setantra# ,@melborne victoriya colins strit chaidsten shoping center#
72,@उसकी यात्राएँ केवल भूदृश्यों के प्यार और अज्ञात की खोज से ही प्रेरित नहीं थीं#,uski# yatharaya# keval# bhuddharushon# ken# pyar# aur# aagapaty# ki# choja# se# hi# preitra# nahin# thin# ,@uski yatrayen keval bhudrushyon ke pyar aur agyat ki khoj se hi prerit nahi thi#
73,@उसका विश्व के प्रत्येक प्रदेश में निवास है#,uskaa vishva# ken# pratyesshan pradesha# men# nivansa ha# ,@uska vishva ke pratyek pradesh mein niwas hai#
74,@वरबिंस्की और ब्रुकहेमर को डेप पर भरोसा था आंशिक रूप से क्योंकि ऑरलैंडो ब्लूम परंपरागत एरल फ्लेन की तरह का पात्र निभा रहा होगा#,vabindariki# aur# bravoomeshar ko# depp# par# bharosaat tha# anshik# upur se# kyon# hardolo# blum# parambagparar# earland fleone# ki# tarah# ka# pataar# nibha rahaa# hoga ,@varbinski aur brukahemar ko dep par bharosa tha anshik rup se kyonki oralando bloom paramparagat eral phlen ki tarah ka patra nibha raha hoga#
